article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;number_internal_references;complexity_with_references;clump_size
CRR_112;7;2;32;-92,7124390243902;0;7;1
CRR_113;60;34;232;14,918446327683654;1;5,390120975310237e+16;339
CRR_114;21;18;142;48,640896017699134;2;78,20000000000002;1
CRR_115;25;16;170;25,626007326007368;4;5,390120975310237e+16;339
CRR_116;21;15;136;35,14504364089777;3;5,390120975310237e+16;339
CRR_117;14;8;48;18,446557835820897;3;5,390120975310237e+16;339
CRR_118;11;4;20;-51,70638554216863;0;11;1
CRR_119;21;14;100;31,793663101604295;3;5,390120975310237e+16;339
CRR_120;32;19;129;18,751932938856044;2;133,53000000000003;1
CRR_121;9;8;57;55,98317179144385;1;5,390120975310237e+16;339
CRR_122;4;4;41;63,306538461538494;1;51,300000000000004;1
CRR_123;18;11;76;22,018428571428615;1;25,700000000000003;1
CRR_124;34;21;215;21,682857947651257;4;5,390120975310237e+16;339
CRR_125;54;28;202;5,104146567718033;3;5,390120975310237e+16;339
CRR_126;45;22;190;-3,959531090723715;3;5,390120975310237e+16;339
CRR_127;9;7;80;41,84050697424897;3;5,390120975310237e+16;339
CRR_128;13;9;62;33,87738636363639;0;13;1
CRR_129;92;55;496;20,029658699808834;6;5,390120975310237e+16;339
CRR_130;6;3;10;-7,851428571428528;0;6;1
CRR_131;2;2;29;48,07650000000001;1;49,300000000000004;1
CRR_132;30;19;188;25,33725490196082;2;87,20000000000002;1
CRR_133;12;9;65;40,88771505376346;3;5,390120975310237e+16;339
CRR_134;36;32;171;53,40526337715238;6;5,390120975310237e+16;339
CRR_135;2;2;22;65,05866666666668;1;7,5;1
CRR_136;43;25;179;17,054692450406776;0;43;1
CRR_137;9;6;53;34,45517241379312;1;95,02000000000002;1
CRR_138;35;22;130;24,646372881355944;0;35;1
CRR_139;10;7;94;35,305054347826086;1;5,9291330728412616e+16;1
CRR_140;10;8;63;48,554650000000024;0;10;1
CRR_141;2;1;26;14,195714285714303;0;2;1
CRR_142;39;15;139;-37,019892561983426;2;5,390120975310237e+16;339
CRR_143;16;11;82;30,37518904823989;0;16;1
CRR_144;42;17;149;-27,687472324723245;2;5,390120975310237e+16;339
CRR_145;20;13;73;28,85925925925929;0;20;1
CRR_146;10;4;23;-27,332068965517195;0;10;1
CRR_147;47;29;228;23,51897959183674;6;5,390120975310237e+16;339
CRR_148;48;30;183;23,53075046040516;3;5,390120975310237e+16;339
CRR_149;11;6;83;7,227463196635142;3;5,390120975310237e+16;339
CRR_150;54;30;193;11,908824940047964;5;5,390120975310237e+16;339
CRR_151;20;17;174;48,344368688845435;9;5,390120975310237e+16;339
CRR_152;26;17;206;26,678591442635394;4;5,390120975310237e+16;339
CRR_153;48;35;359;37,16369218500799;6;5,390120975310237e+16;339
CRR_154;51;30;258;18,846101398601434;6;5,390120975310237e+16;339
CRR_155;32;23;193;37,58689505858382;5;5,390120975310237e+16;339
CRR_156;8;4;64;5,3303000000000225;0;8;1
CRR_157;9;7;50;41,424545454545495;1;5,390120975310237e+16;339
CRR_158;17;14;142;49,2469696969697;5;5,390120975310237e+16;339
CRR_159;9;6;50;26,739285714285728;4;5,390120975310237e+16;339
CRR_160;24;16;178;30,640458863765957;3;5,390120975310237e+16;339
CRR_161;14;8;124;15,646333043226008;3;5,390120975310237e+16;339
CRR_162;83;41;396;-1,4524940980419103;5;5,390120975310237e+16;339
CRR_163;4;4;40;58,92804014598542;3;5,390120975310237e+16;339
CRR_164;29;19;186;29,642741020793977;5;5,390120975310237e+16;339
CRR_165;10;9;53;56,250333333333344;1;5,390120975310237e+16;339
CRR_166;65;43;326;28,905626547029726;6;5,390120975310237e+16;339
CRR_167;3;2;12;32,57461538461541;0;3;1
CRR_168;2;1;13;4,557692307692321;0;2;1
CRR_169;6;4;31;28,74852564102565;0;6;1
CRR_170;62;35;228;13,719876456876477;0;62;1
CRR_171;26;16;92;21,133053414096935;0;26;1
