article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_162;21;18;100;48,701528796522695;18;409;653;22,72222222222222;1,5965770171149145;3;7,329419947310315e+22;1
CRD_163;5;4;17;48,284057377049194;2;61;92;30,5;1,5081967213114753;0;5;1
CRD_164;1;1;5;30,365000000000038;1;28;49;28,0;1,75;0;1;1
CRD_165;1;1;2;73,84500000000001;2;12;18;6,0;1,5;0;1;1
CRR_1;36;15;65;-24,63118279569892;3;155;328;51,666666666666664;2,1161290322580646;0;36;1
CRR_2;19;15;66;42,89547756041429;11;237;398;21,545454545454547;1,6793248945147679;1;58,6;1
CRR_3;9;5;13;15,195000000000022;1;36;66;36,0;1,8333333333333333;0;9;1
CRR_4;681;92;1856;-324,0711590331902;19;7212;12415;379,57894736842104;1,721436494731004;20;2,2210363476697925e+22;475
CRR_5;6;3;24;-3,390188679245256;2;106;196;53,0;1,849056603773585;0;6;1
CRR_6;62;40;179;26,437812500000007;16;517;902;32,3125;1,7446808510638299;11;2,2210363476697925e+22;475
CRR_7;24;11;104;-12,156793349168623;7;421;786;60,142857142857146;1,8669833729216152;2;2,2210363476697925e+22;475
CRR_8;76;41;239;8,418985614467744;15;811;1376;54,06666666666667;1,6966707768187423;5;2,2210363476697925e+22;475
CRR_9;11;7;56;26,52790697674422;7;215;379;30,714285714285715;1,7627906976744185;3;2,2210363476697925e+22;475
CRR_10;21;11;57;7,8540737298637;6;269;488;44,833333333333336;1,8141263940520447;0;21;1
CRR_10a;3;2;15;19,242500000000007;2;80;139;40,0;1,7375;1;42,6;1
CRR_11;72;43;232;19,81220409870349;21;797;1399;37,95238095238095;1,7553324968632371;8;2,2210363476697925e+22;475
CRR_12a;12;7;47;18,928146551724154;4;145;259;36,25;1,7862068965517242;1;2,2210363476697925e+22;475
CRR_13;25;17;74;31,913636363636385;11;225;410;20,454545454545453;1,8222222222222222;13;2,1988259841930945e+23;1
CRR_14;25;15;71;18,48074027072758;6;197;361;32,833333333333336;1,83248730964467;3;7,329419947310315e+22;1
CRR_18;65;38;249;17,8076829268293;29;820;1554;28,275862068965516;1,895121951219512;6;2,2210363476697925e+22;475
